id,position,city,company,salary,experience,education,industry,skills,benefits
1702,大数据研发工程师,西安,甘肃大河科技有限公司,1.7-2.3万,3-5年,本科,建筑设备安装,"数据架构, Java, Kafka",
1703,大数据软件开发工程师,福州,福建享智达科技有限公司,7000-11000元,3-5年,本科,计算机软件,"数据挖掘, 数据库开发",
1704,中级大数据开发工程师,广州,广州仁合时创信息技术有限公司,1-1.2万,3-5年,大专,计算机软件,"数据仓库, 数据库开发, Sql, Shell",
1705,资深大数据开发工程师,太原,山西地势坤能源科技有限公司,8000-15000元,3-5年,本科,电力/水利/热力/燃气,"数据建模, 数据仓库",
1706,数据开发岗-数据管理部(J10597),杭州,浙江民泰商业银行,1.4-2.5万,1-3年,本科,银行,数据开发,
1707,大数据开发工程师,沈阳,北京画文科技有限公司,1.1-1.4万,3-5年,本科,计算机软件,"数据治理, 数据挖掘, 数据仓库",
1708,大数据Java方向/统本/长期项目,成都,博彦科技,1.2-1.3万,1-3年,本科,IT服务,"Java, Hadoop, Spark","零食/下午茶, 节日福利, 周末双休, 单位体检, 涨薪, 住房公积金"
1709,大数据运维工程师,福州,福建人人共享安全服务有限公司,4000-8000元,1-3年,本科,工程施工,"数据库运维, Python",
1710,Jave开发工程师-电力大数据开发,海口,天津佩能能源科技发展有限公司,8000-12000元,1-3年,本科,人力资源服务,"ETL, 数据仓库, 数据库开发, Python",
1711,大数据开发工程师,上海,陕西慧云联达企业管理咨询有限公司,2-4万,经验不限,本科,人力资源服务,"Java, Python, C语言",
1712,大数据研发工程师（人工智能方向）,广州,广州市品高软件股份有限公司,1.2-2万·13薪,无经验,本科,IT服务,"深度学习, 图像算法, PyTorch, TensorFlow",
1713,中级大数据开发工程师,武汉,北京大享科技有限公司,9000-10000元,1-3年,本科,IT服务,"Python, 数据治理, Shell, Java, Hadoop, Flink, Spark",
1714,大数据开发工程师,西安,软通动力信息技术(集团)股份有限公司,9000-12000元,3-5年,本科,互联网,"ETL, Java, Sql, Flink, Spark",
1715,大数据开发工程师,合肥,中电金信软件有限公司,1.4-1.8万,3-5年,本科,计算机软件,"Hadoop, Sql, Java, 数据架构, 数据库开发, 银行",
1716,大数据工程师（深圳）,深圳,华立科技股份有限公司,1.2-2.4万,3-5年,本科,互联网,"Java, Python, Scala, Hadoop, Kafka",
1717,大数据开发,南京,北京南瑞普瑞用电技术有限公司,1.5-2.2万,3-5年,本科,电力/水利/热力/燃气,大数据,
1718,大数据开发工程师,廊坊,新奥集团,2-3.5万·14薪,经验不限,硕士,电力/水利/热力/燃气,数据库开发,
1719,高级大数据开发工程师,郑州,牧原股份,1.5-3万,3-5年,本科,农/林/牧/渔,"Sql, Spark, Java, Python, MaxCompute",
1720,大数据研发工程师（家庭网络）,上海,天翼数字生活科技有限公司,1.5-2.5万,3-5年,本科,计算机软件,"数据治理, 数据架构, Sql, Java, Hadoop",
1721,大数据开发工程师,北京,中科软科技股份有限公司,1-1.7万,3-5年,本科,计算机软件,"Sql, Java, ETL, 数据仓库, Hadoop, Kafka, MaxCompute",
1722,大数据讲师,贵阳,慧科集团,1-1.5万,1-3年,硕士,互联网,"Hadoop, Spark, 大数据开发, 数仓开发, Flink, Hive, MySQL, Java, Python, Hbase, Redis",
1723,物业案场水吧员（大数据二期）,济南,绿城物业服务集团有限公司济南高新分公司,4000-5000元·13薪,1年以下,中专/中技,物业管理,商务礼仪,"高温补贴, 包住, 五险, 年终奖金, 节日福利, 餐饮补贴"
1724,大数据解决方案工程师,合肥,安徽皖信人力资源管理有限公司,1.3-2万,1-3年,本科,咨询服务,售前工作,
1725,大数据售前解决方案工程师（物联网）,昆明,威派格,1-1.3万,1-3年,本科,电力/水利/热力/燃气,"云计算产品, 物联网, 大数据",
1726,大数据开发工程师,石家庄,河北御芝林生物科技有限公司,1.5-2.5万,3-5年,本科,医药制造,"数据架构, 数据挖掘, 数据仓库, Sql, Python, Hadoop",
1727,OEM管培生(研发、选品、大数据、新媒体运营方向),石家庄,千喜鹤,1-1.5万,无经验,硕士,餐饮服务,市场营销方向,"五险一金, 通讯补贴, 包住, 节日福利, 生日福利, 住房补贴, 家属关怀"
1728,高级java开发工程师（大数据方向）,石家庄,河北雄安睿天科技有限公司,8000-16000元·13薪,5-10年,本科,计算机软件,"DataX, SQL, MySQL, Oracle, 数据开发, Hadoop, Flink, Kafka, 有水电燃气等相关从业经验者优先","五险一金, 单位体检, 周末双休, 法定节假日休, 年终奖金, 带薪假期, 绩效奖金"
1729,大数据运维,南宁,南京迈特望科技股份有限公司,6000-10000元,1-3年,本科,计算机软件,"系统运维, 数据库运维, Kubernetes, Docker, CDH",
1730,数据仓库工程师,长沙,北京弈云网络科技有限公司,1-2万·14薪,3-5年,本科,电子商务,"数仓开发, Hadoop",
1731,大数据平台架构师,南京,中储智运科技股份有限公司,3-5万,5-10年,本科,货运/物流/仓储,大数据开发,
1732,大数据高级工程师,广州,中电科普天科技股份有限公司,1.5-2.5万,3-5年,本科,通信/网络设备,"数据治理, 数据架构, 数据挖掘, Hadoop, Spark, hive, ETL开发, 源码阅读经验, 大数据平台产品",
1733,双休，五险一金，大数据讲师,开封,北京华晟经世信息技术股份有限公司,1-1.5万·13薪,5-10年,本科,通信/网络设备,"大数据开发, 大数据分析, 数据可视化, 数仓开发, Hadoop, Java, Python","法定节假日休, 包住, 年终奖金, 节日福利, 周末双休, 带薪假期, 五险一金, 环境好"
1734,python大数据开发工程师,深圳,软通动力信息技术(集团)股份有限公司,1.2-1.6万,3-5年,本科,互联网,"Sql, Shell, Django, MySQL",
1735,大数据开发工程师(J11104),北京,中科闻歌,2-2.6万,3-5年,本科,互联网,"数据治理, 数据仓库, 数据中台开发, Hadoop, Kafka, Elasticsearch",
1736,大数据开发工程师,深圳,深圳市睿服科技有限公司,1.5-1.9万,3-5年,本科,IT服务,"数据治理, Java, Scala",
1737,大数据开发工程师,银川,河北海珉工矿集团有限公司,1-1.5万,3-5年,本科,钢铁/有色金属冶炼及加工,"Hadoop, Flink, Spark, Python, Java, Sql",
1738,大数据,深圳,软通动力信息技术(集团)股份有限公司,1.1-1.7万,经验不限,本科,互联网,"Spark, Flink, Java, Python, CLICKHOUSE, DORIS, 大数据, 搜索, 推荐, 图像",
1739,数仓开发工程师,北京,河北起聘信息科技有限责任公司,1-1.5万,1-3年,本科,人力资源服务,"数仓开发, 数据治理, Python, Java, Oracle, Hadoop, Hive, Spark, 房产行业",
1740,大数据开发工程师,北京,大北农集团,1.4-2.8万,3-5年,本科,农/林/牧/渔,"ETL, 数据建模, 数据仓库, Spark, Kafka, Shell, Java","差旅补贴, 住房公积金, 节日福利, 五险, 团建福利, 体检免费, 法定节假日休, 家属关怀"
1741,区域销售（教育大数据）,乌鲁木齐,竞业达,8000-12000元,3-5年,大专,计算机硬件,"区域销售, 高校客户",
1742,MIS开发(J12264),深圳,华安财产保险股份有限公司,1.5-2.5万·16薪,3-5年,本科,保险,"数仓开发, 数据建模, 数据采集, 数据调研, 数据清洗, 数据治理, 数据运维, Java, Oracle, MySQL, Hive",
1743,大数据助理/双休,杭州,猎贤(杭州)信息技术有限公司,7000-9000元·14薪,1-3年,本科,IT服务,"Sql, Python, BI工具","团建福利, 奖金加提成, 五险一金, 带薪假期, 周末双休, 节日福利, 季度奖金, 五险, 零食/下午茶, 生日福利"
1744,资深大数据开发工程师,北京,东软集团股份有限公司,1.6-2.8万,5-10年,本科,计算机软件,"Java, 数据仓库, Flink, Kafka, 数据架构, 数据库开发, DORIS, JAVA SPRING BOOT, MySQL",
1745,大数据平台运维工程师,广州,广东广安信息发展公司,8000-15000元,3-5年,大专,网络/信息安全,,"单位体检, 带薪假期, 通讯补贴, 节日福利, 餐饮补贴, 十三薪, 六险一金"
1746,大数据开发工程师,北京,北京骏马客运有限公司,1.6-1.8万,1-3年,本科,客运服务,"大数据开发, 数据仓库, ETL, Hadoop, Spark, Flink, Scala, Python, Sql, 数据湖, 分布式计算, 数据中台",
1747,高级大数据开发工程师（数据魔方）,深圳,深圳市先创数字技术有限公司,1.7-3万,5-10年,本科,运营商/增值服务,"数据挖掘, Sql, Python, Shell, Hadoop, 数据可视化, 数据分析",
1748,美团地图服务部 - 服务端/大数据测试开发工程师,北京,北京三快在线科技有限公司,面议,1-3年,本科,互联网,,
1749,大数据分析中心副主任,烟台,烟台智慧城市大数据研究院,1.2-1.8万,3-5年,硕士,云计算/大数据,"Python, 数据治理, 数据挖掘",绩效奖金
1750,大数据开发工程师,深圳,深圳市乐有家控股集团有限公司,1-2万·14薪,5-10年,本科,房地产中介,"数据架构, 数据仓库","节日福利, 五险一金, 涨薪, 零食/下午茶, 带薪假期, 年轻化团队"
1751,java大数据讲师 （大学上班+不坐班）,合肥,伟创聚赢,65元/时,1年以下,本科,计算机软件,"JavaScript, Python, HTML, 集体授课, 教研, 培训师, 全职",
1752,大数据运维（北京）,北京,软通动力信息技术(集团)股份有限公司,1-1.5万,1-3年,本科,互联网,"Hadoop, Shell, linux, CDH, 大数据运维",
1753,能源大数据首席助理,鄂尔多斯,北京大学鄂尔多斯能源研究院,8000-16000元,5-10年,本科,学术/科研,,"五险一金, 有食堂, 商业保险, 五险, 晋升空间大, 住房补贴"
1754,大数据开发,哈尔滨,北京宇天恒瑞科技发展有限公司,8000-12000元,3-5年,本科,计算机软件,"数据库开发, Sql",
1755,大数据分析师/数据分析工程师 【国家电网】,成都,四川天灵高科电气有限公司,6000-10000元,1-3年,本科,电力/水利/热力/燃气,"数据可视化, Sql, Python, 适应短期出差, BI工具, Power BI",
1756,大数据开发工程师,深圳,软通动力信息技术(集团)股份有限公司,1.5-2.1万,3-5年,本科,互联网,"数据治理, Java, Python, Scala, Hadoop, Hive, Spark, Flink",
1757,大数据平台架构师(J10111),成都,中电万维信息技术有限责任公司,1.5-3万·13薪,5-10年,本科,IT服务,"数据平台, 数据中台开发","五险一金, 高温补贴, 餐饮补贴, 带薪假期, 通讯补贴, 交通补贴, 十三薪, 商业医疗险"
1758,大数据工程师,重庆,中电智安科技有限公司,1-2万,3-5年,本科,通信/网络设备,"数据建模, 数仓开发, Java, Python, Hadoop, MySQL, MongoDB, Elasticsearch","节日福利, 餐饮补贴, 单位体检, 带薪假期, 通讯补贴, 交通补贴, 商业医疗险"
1759,数据管理能力评估师/大数据评估师,广州,广州赛西标准检测研究院有限公司,6000-7000元,经验不限,本科,检测/认证,"评估认证, 数据, 评估师, 数据管理能力评估师, 大数据评估师","五险一金, 法定节假日休, 绩效奖金, 工伤保险, 失业保险, 生育保险, 年终奖金, 住房公积金, 商业医疗险, 养老保险, 节日福利, 周末双休, 体检免费, 包住"
1760,大数据开发（电池）-徐工研究院 (MJ000648),徐州,徐工集团,4-5万,10年以上,本科,电气机械/电力设备,"数据架构, 数据库开发, C语言",
1761,数据仓库工程师,重庆,重庆康洲大数据(集团)有限公司,1.1-2.1万,3-5年,本科,医药制造,"Spark, Flink, Presto, SQL, Hbase, ElasticSearch, HIVE, Lmpala",
1762,区域销售（教育大数据）,成都,竞业达,8000-12000元,3-5年,大专,计算机硬件,"区域销售, 高校客户",
1763,大数据开发,北京,鑫锡软件(朝阳)有限公司,1.5-1.9万,3-5年,本科,IT服务,Hadoop,
1764,大数据分析师,福州,金强控股集团有限公司,8000-15000元,3-5年,硕士,建材,"大数据分析, 数据建模",
1765,大数据开发顾问,上海,北京青钱信息技术有限公司,2.6-3万,3-5年,本科,计算机软件,Hadoop,
1766,大数据助理,杭州,杭州骅涵教育科技有限公司,8000-11000元·14薪,1-3年,本科,企业服务,网站安全,
1767,数据开发/数据仓库,济南,济南银狐网络科技有限公司,1.3-2万,3-5年,本科,互联网,"数仓开发, 数据建模, 数据清洗, 数据治理, Hadoop",
1768,大数据,武汉,武汉东讯科技有限公司,1-1.5万,3-5年,本科,运营商/增值服务,"Java, Sql, 数据架构, 数据建模, 数据库开发",
1769,大数据架构师,北京,公安部第一研究所,1.5-3万,3-5年,硕士,学术/科研,"ElasticSearch, Flink, Hbase, hive, Spark, Hadoop",
1770,应用软件开发（大数据与人工智能方向）,重庆,重庆航天火箭电子技术有限公司,1-2万,经验不限,硕士,船舶/航空/航天/火车制造,数据库开发,
1771,大数据开发工程师,西安,北京计算机技术及应用研究所,1-1.5万,经验不限,硕士,计算机硬件,"数据中台开发, 数据治理, 数据建模, Java, Hadoop, Spark",
1772,大数据项目申报专员,贵阳,贵州南智云谷数字产业发展有限公司,5000-7000元,1-3年,大专,互联网,"政府申报项目, 科技申报项目",
1773,大数据开发（佛山办公 视频面试）,广州,顶尖传诚,1.3-1.6万,3-5年,大专,计算机软件,"Spark, hive, 数据仓库, Java","节日福利, 零食/下午茶"
1774,大数据平台开发工程师（JAVA大数据应用）,重庆,重庆软江图灵人工智能科技有限公司,8000-12000元,3-5年,本科,人工智能,"数据治理, 数据架构, 数据库开发",
1775,大数据开发工程师（要hive经验）,广州,蜜蜂速聘(天津)科技有限公司,1.2-1.8万,5-10年,本科,企业服务,"数据治理, Python, Hadoop, Flink, Spark, hive",
1776,大数据开发工程师,西安,陕西慧云联达企业管理咨询有限公司,1.5-3万·16薪,经验不限,本科,人力资源服务,"Java, Python, C++",
1777,区域销售（教育大数据）,重庆,竞业达,8000-12000元,3-5年,大专,计算机硬件,"区域销售, 高校客户",
1778,大数据工程师,深圳,广州仁合时创信息技术有限公司,1.5-1.7万,3-5年,本科,计算机软件,"Sql, Java, Spark, Kafka, 数据库开发",
1779,计算机讲师,贵阳,慧科集团,200元/时,1-3年,硕士,互联网,"大数据开发, Java",
1780,区域销售（教育大数据）,太原,竞业达,8000-15000元,3-5年,本科,计算机硬件,"院校客户, 渠道销售, 区域销售, 面销/陌拜, AIGC诊断报告",
1781,大数据开发工程师,深圳,软通动力信息技术(集团)股份有限公司,1-1.3万,3-5年,本科,互联网,"Python, JavaScript, Java, Spark, Flink, Hadoop, Scala, Shell, 数据中台开发, 数据架构, 大数据",
1782,大数据开发工程师（工作地：太原）,太原,北京信联数安科技有限公司,1-2万,1-3年,本科,计算机软件,"Hadoop, Spark, Flink, 数据治理, 数据仓库",
1783,大数据分析工程师,乌鲁木齐,新疆众和股份有限公司,8000-15000元,1-3年,本科,钢铁/有色金属冶炼及加工,"Python, Sql, SPSS, 深度学习",
1784,互联网电商/大数据软件推广专员,长沙,新骅光医疗科技集团有限公司,7000-14000元,1-3年,高中,医疗设备/器械,"互联网, 生物医疗/大健康, 医疗设备/器械, 电子商务, 新零售, 电话销售, 网络销售, 地推销售, 医疗机构","五险一金, 午餐免费, 高提成, 拓展培训, 工资月结, 燃油补贴, 绩效奖金, 学历补贴, 通讯补贴, 团建福利, 晋升公开透明, 包住, 交通补贴"
1785,大数据开发工程师,北京,博彦科技承德有限公司,1.6-1.8万,3-5年,本科,IT服务,"数据中台开发, 大数据开发, Java, Scala, Hadoop, Spark, Elasticsearch",
1786,大数据开发工程师（OD）,深圳,深圳市人才服务中心(深圳市人才大市场),1.3-2.6万,1-3年,本科,人力资源服务,"Java, C++",
1787,大数据开发工程师,上海,中科软科技股份有限公司,1.2-1.8万,3-5年,本科,计算机软件,"Python, Sql, 数据建模, 数据仓库, Hadoop, TDH",
1788,大数据开发工程师,济南,微图软件,1-1.5万,3-5年,本科,计算机软件,"Sql, Python, Hadoop, Spark, Java, Flink",
1789,大数据与会计专业教师,白城,大唐科技(长春)有限公司,3000-5000元,1-3年,大专,学校/学历教育,授课老师,
1790,大数据分析师,北京,北京神州数字科技有限公司,1.1-2万,5-10年,本科,计算机软件,"数据挖掘, 数据治理, 数据建模",
1791,大数据开发（银行项目）,北京,软通动力信息技术(集团)股份有限公司,1.5-1.7万·13薪,5-10年,本科,互联网,"数据库开发, 数据仓库, Spark, 神策开发, 扩展数据湖",
1792,大数据运维工程师,广州,盈利信息科技,1.2-1.5万,1-3年,大专,计算机软件,数据库运维,
1793,大数据分析师,泰安,泰安心康医院,7000-12000元,1-3年,硕士,医院,"数据仓库, 数据建模, 数据挖掘",
1794,大数据开发工程师bjzh,北京,北京南天信息工程有限公司,1.1-1.7万,1-3年,本科,计算机软件,"大数据开发, Hadoop, Spark",
1795,大数据开发岗【应届生】,上海,云汉时代数字科技有限公司,1.5-2万,无经验,本科,计算机软件,"Sql, Java, Python",
1796,大数据负责人,上海,江苏恒瑞医药股份有限公司,4-6万·14薪,10年以上,本科,医药制造,"数据治理, 数据架构, 数据库开发",
1797,大数据开发工程师,北京,华能信息技术有限公司,1.5-2.5万,5-10年,本科,计算机软件,"Hadoop, Flink, Spark, Python, 数据仓库, 数据库开发, 数据中台开发",
1798,大数据工程师,北京,京北方,1.5-2.5万,3-5年,本科,IT服务,"数据挖掘, 数据分析, 数据处理, Spark","五险一金, 绩效奖金, 餐饮补贴, 全勤奖金, 周末双休, 加班补贴"
1799,知识图谱大数据开发,上海,博彦科技,1.3-1.5万,3-5年,本科,IT服务,"Python, 知识图谱",
1800,大数据讲师,信阳,合肥科大讯飞教育发展有限公司,1.2-1.6万,3-5年,本科,人工智能,"大数据开发, Hadoop, Python, Java, Spark",拓展培训
1801,大数据开发,厦门,软通动力信息技术(集团)股份有限公司,1.6-1.8万·13薪,5-10年,本科,互联网,"Flink, Spark",
1802,大数据开发工程师,北京,澳美信息技术(天津)有限公司,9000-18000元,1-3年,本科,云计算/大数据,"数据治理, 数据架构, 数据挖掘, Sql, Hadoop, Spark",
1803,java大数据助理,成都,四川星峰景晨科技有限公司,4000-6000元·13薪,经验不限,本科,互联网,Java,
1804,大数据分析师,泰安,泰安心康医院,6000-9000元,1-3年,硕士,医院,,
1805,中级大数据开发工程师,珠海,京北方,1.2-1.3万,3-5年,本科,IT服务,"数据挖掘, ETL开发, 数据建模, Java, Python, Hadoop, Hive, MySQL",
1806,大数据开发工程师（平台工具）,深圳,中软国际,面议,3-5年,本科,计算机软件,"数据中台开发, Java, Python, Scala, Hadoop",
1807,大数据开发工程师,深圳,深圳市先创数字技术有限公司,2.2-3.5万·13薪,经验不限,本科,运营商/增值服务,"Hadoop, 数据库开发, Java, 数据挖掘, Kafka, 大数据开发, 大数据分析, Hive","五险一金, 节日福利, 周末双休, 项目奖金, 单位体检, 绩效奖金, 带薪假期, 团建旅游"
1808,大数据分析师（实习）,北京,国研科技集团有限公司,100-200元/天,无经验,硕士,IT服务,,
1809,大数据开发工程师,深圳,北京思凌科半导体技术有限公司,2.4-3.5万,3-5年,本科,电子/半导体/集成电路,"数据架构, 数据挖掘, 数据建模",
1810,大数据工程师,重庆,重庆鸿捷通信科技发展有限公司,6000-12000元,3-5年,本科,运营商/增值服务,数据开发,
1811,大数据开发工程师,广州,南京数之赢科技有限公司,1.8-2.3万,5-10年,本科,计算机软件,"数据库开发, 数据中台开发, 数据架构, Shell, Python, Flink, Spark, Hadoop",
1812,大数据开发工程师,西安,西安西热电站信息技术有限公司,1.3-2万,3-5年,本科,电力/水利/热力/燃气,"数据架构, 数据仓库, 数据建模, Python, Java, Hadoop, Flink, Spark",
1813,时空大数据开发工程师,广州,广东智帆海洋科技有限公司,1.8-3万,经验不限,本科,计算机软件,"数据仓库, 数据架构, Scala, Python, GoLang, Hadoop, Spark, Flink, GEOMESA, GEOWAVE, GIS","周末双休, 带薪假期, 五险一金, 法定节假日休"
1814,高级大数据开发工程师-金融岗,合肥,京北方,1.4-1.6万,5-10年,本科,IT服务,"大数据开发, 数据仓库, 数据治理, 数据分析","五险一金, 节日福利, 餐饮补贴, 绩效奖金"
1815,售前工程师+双休+大数据行业,济南,高质标准化研究院(山东)有限公司,9000-12000元,3-5年,大专,专业技术服务,,周末双休
1816,大数据开发工程师,郑州,天汇志诚科技有限公司,9000-15000元,3-5年,本科,电子/半导体/集成电路,"数据仓库, 数据建模, 数据挖掘",
1817,大数据开发工程师,天津,天津开明管理技术咨询有限公司,8000-10000元,1-3年,本科,计算机软件,"数据库开发, Scala, Python, Sql, Hadoop, Flink, Spark, 数据仓库, 数据架构","五险一金, 节日福利, 周末双休"
1818,大数据开发工程师,东莞,软通动力信息技术(集团)股份有限公司,1-1.3万,3-5年,本科,互联网,"Python, JavaScript, Java, Spark, Flink, Hadoop, Scala, Shell, 数据中台开发, 数据架构, 大数据",
1819,数据开发工程师,上海,上海晴琪劳务派遣有限公司,1.7-1.8万,5-10年,本科,人力资源服务,数仓开发,
1820,运动大数据AI算法工程师,青岛,青岛迈金智能科技股份有限公司,1.1-1.6万·16薪,无经验,硕士,电子设备制造,,
1821,大数据运维工程师（华为MRS）,合肥,上海威士顿信息技术股份有限公司,1.5-2万,1-3年,本科,计算机软件,"系统运维, Shell",
1822,大数据管理与应用专业教师,沈阳,辽宁传媒学院,6000-10000元,3-5年,硕士,学校/学历教育,"大数据分析, 大数据开发, 数据建模",
1823,大数据讲师,常德,中国高科集团,1.2-1.5万,经验不限,本科,培训/辅导服务,"大数据分析, Java, Python","五险一金, 周末双休"
1824,软件工程师（大数据方向）,广州,广州昕远科技有限公司,1.5-2万,3-5年,本科,汽车研发/制造,"数据挖掘, 数据架构, Java, GO开发",
1825,驻点专员（数据分析能力或大数据专业）,深圳,深圳市创势互联科技有限公司,5000-6000元,1-3年,本科,计算机软件,"数据仓库, 政企软件项目","五险一金, 周末双休, 带薪假期, 团建旅游, 商业医疗险, 节日福利"
1826,大数据技术专员（数字资产）,北京,中健西科(北京)科技有限公司,1-2万·14薪,1-3年,本科,互联网,数据仓库,
1827,区域销售（教育大数据方向）,上海,竞业达,8000-12000元,3-5年,本科,计算机硬件,"院校客户, 区域销售, 渠道销售, 面销/陌拜, AIGC报告",
1828,南宁大数据,南宁,南京迈特望科技股份有限公司,7000-10000元,1-3年,本科,计算机软件,"Nginx, Docker, Kafka, Java, Flink, Spark",
1829,中级大数据开发工程师,深圳,京北方,1.2-1.3万,3-5年,本科,IT服务,"数据挖掘, ETL开发, 数据建模, Java, Python, Hadoop, Hive, MySQL",
1830,测试工程师（大数据方向）,北京,中国电子口岸数据中心,6000-12000元,经验不限,本科,IT服务,,
1831,java大数据开发工程师,西安,软通动力信息技术(集团)股份有限公司,1-1.6万,1-3年,本科,互联网,"Java, 大数据",
1832,BI大数据架构师-上海北京大连,上海,大连凯沃企业管理顾问有限公司,3-5万·14薪,10年以上,本科,咨询服务,"大数据平台, 大数据架构, BI",
1833,请大数据推给想搞钱的！！！,上海,上海太屋网络科技有限公司,1.8-2.6万,经验不限,大专,房地产开发,"住宅房产, 商业房产, 新房, 二手房, 面销/陌拜	, 网络销售, 地推销售, 五险一金, 住房补贴, 团建福利, 带薪培训, 带薪年假, 提成高, 新人友好, 氛围轻松","五险一金, 包住, 无责底薪, 住房补贴, 高提成, 带薪假期, 带薪培训, 团建福利"
1834,大数据迁移工程师,广州,软通动力信息技术(集团)股份有限公司,1.5-1.8万,5-10年,本科,互联网,"Python, 数据迁移, GAUSSDB(DWS), HCCDP-BIG DATA",
1835,大数据开发工程师(A188336),北京,北京淘友天下技术有限公司,2-2.5万·15薪,1-3年,本科,互联网,"Java, Python, C++, Spark, Flink, Hadoop",
1836,数据仓库工程师（医疗行业）,北京,乐普医疗,1-2万,5-10年,本科,医疗设备/器械,"Oracle, MySQL, SQL Server, ERP, CRM, SCM, Hive sql, Spark sql, Flink sql, Storm",
1837,产品经理（国网商用大数据有限公司）,北京,国网数字科技控股有限公司,2-3万,1-3年,本科,电子商务,"需求分析, 产品设计",
1838,互联网电商/大数据软件推广专员,上海,新骅光医疗科技集团有限公司,7000-14000元,1-3年,高中,医疗设备/器械,"互联网, 生物医疗/大健康, 医疗设备/器械, 电子商务, 新零售, 电话销售, 网络销售, 地推销售, 医疗机构","五险一金, 午餐免费, 高提成, 拓展培训, 工资月结, 燃油补贴, 绩效奖金, 学历补贴, 通讯补贴, 团建福利, 晋升公开透明, 包住, 交通补贴"
1839,电气工程师（新能源发电并网控制、大数据及电气工程师）,北京,北京国源联诺科技有限公司,2-3万·14薪,经验不限,本科,电力/水利/热力/燃气,"并网控制, 新能源, 仿真建模, 大数据, 电气工程, 自动控制","五险一金, 绩效奖金, 带薪假期, 免费班车, 周末双休, 十三薪, 商业医疗险"
1840,大数据工程师,青岛,盈康一生-金控平台,1.2-1.8万,3-5年,本科,医院,"DORIS, Sql",
1841,大数据治理开发工程师,重庆,中国电信重庆分公司,1-1.3万,3-5年,本科,通信/网络设备,"数据治理, ETL, 数据中台开发, Sql, Python, Java, Hadoop, Spark, Kafka",
1842,大数据java开发,北京,深圳市法本信息技术股份有限公司,1.5-1.6万,3-5年,本科,计算机软件,"数据架构, 数据挖掘, 数据库开发, Java, hive, Python",
1843,大数据分析师,深圳,鹏劳人力,1.3-2.5万,经验不限,本科,咨询服务,Python,"法定节假日休, 带薪假期, 生育保险, 住房公积金, 周末双休"
1844,大数据架构师,徐州,江苏中矿安华科技发展有限公司,1-2万,5-10年,本科,计算机软件,"数据治理, 数据挖掘, 数仓开发, 数据建模, 数据平台",
1845,大数据开发工程师,西安,软通动力信息技术(集团)股份有限公司,1-1.5万,1-3年,本科,互联网,"数据治理, 数据架构, Hadoop, Flink, 数据建模, Java, Python, Spark, hive, CLICKHOUSE, DORIS",
1846,大数据开发工程师,深圳,深圳市乐有家控股集团有限公司,2.5-3.5万·14薪,5-10年,本科,房地产中介,"Java, Python, Hadoop, Flink, Spark, 数据仓库, 数据库开发, 数据中台开发",
1847,广东大数据工程师/讲师,广州,北京中科特瑞科技有限公司,1.2-1.5万·13薪,1-3年,硕士,计算机软件,"Python, Java, Hadoop, Hive, 大数据分析, 数据挖掘",
1848,人工智能学院专职教师（物联网、网络工程、人工智能、数据科学与大数据技术）,长春,长春大学旅游学院,5000-8000元,经验不限,硕士,培训/辅导服务,人工智能,"寒暑假, 单位体检, 带薪假期, 五险一金, 加班补贴, 免费班车, 交通补贴, 节日福利, 餐饮补贴"
1849,产品经理（大数据方向）,重庆,中电智安科技有限公司,1-2万,1-3年,本科,通信/网络设备,"产品经理, 大数据产品, 数据分析, 金融产品","单位体检, 五险一金, 带薪假期, 通讯补贴, 交通补贴, 节日福利, 餐饮补贴, 周末双休"
1850,大数据技术兼职教师,北京,北京科技经营管理学院,5000-8000元,1-3年,硕士,培训/辅导服务,"大数据技术, 高等教育, 线下授课",
1851,大数据讲师/讲师助理,遂宁,成都银河教育中心,6000-10000元,1-3年,本科,培训/辅导服务,"Python, Java","寒暑假, 绩效奖金, 工伤保险, 失业保险, 带薪假期, 生育保险, 商业医疗险, 养老保险, 团建旅游, 节日福利, 法定节假日休, 全勤奖金, 周末双休, 拓展培训, 五险"
1852,大数据开发工程师,深圳,深圳新思,1-1.3万,1-3年,本科,IT服务,"Sql, Hadoop, Spark, Kafka, 数据治理, 数据架构, 数据挖掘, Java, Python",
1853,大数据工程师,沈阳,北京卓信智恒数据科技股份有限公司,7000-8000元,3-5年,本科,计算机软件,"数据治理, 数据建模, 报表开发, Python, MySQL, Hadoop, 数据中台",
1854,大数据工程师,北京,北京同方智科科技有限公司,1.4-2万,5-10年,本科,通信/网络设备,"数据治理, 数据挖掘, 数据建模, Python, 数据分析, 大数据处理",
1855,大数据开发工程师,南京,南京华飞数据技术有限公司,1.5-2万,3-5年,本科,计算机软件,"大数据开发, 数据处理, Java, SQL",
1856,大数据开发（周末双休+不内卷+稳定发展空间大）,北京,深圳市法本信息技术股份有限公司,1.2-2万,5-10年,本科,计算机软件,"Sql, Hadoop, Shell, 银行","五险一金, 五险, 带薪假期, 晋升空间大, 团建旅游, 交通补贴, 节日福利, 周末双休"
1857,大数据开发工程师,北京,河北艾钉科技有限公司,1.3-1.9万,3-5年,本科,互联网,"Hadoop, HDFS, hive, Hbase",
1858,大数据与会计专业专职教师,南昌,江西软件职业技术大学,7000-9000元,经验不限,硕士,学校/学历教育,授课老师,"单位体检, 五险一金, 免费班车, 团建旅游, 餐饮补贴"
