id,position,city,company,salary,experience,education,industry,skills,benefits
748,Python开发工程师,西安,华为技术有限公司,面议,经验不限,本科,运营商/增值服务,"后端开发, Linux, Python","单位体检, 五险一金, 绩效奖金, 周末双休, 节日福利"
749,工具开发工程师/leader（Python）,武汉,光庭信息,1.5-3万·13薪,3-5年,本科,计算机软件,"Python, Django, MySQL",
750,Python工程师,南京,深圳市睿服科技有限公司,1-1.5万,3-5年,本科,IT服务,Python,"五险一金, 绩效奖金, 周末双休"
751,Python开发工程师,深圳,软通动力信息技术(集团)股份有限公司,1.1-1.7万,1-3年,本科,互联网,"Django, Flask, Jenkins, Redis, Python, Linux, 数据结构, 多线程","年终分红, 五险一金, 绩效奖金, 带薪假期, 全勤奖金, 周末双休, 商业医疗险"
752,Python后端开发,青岛,青岛吉奥赛思信息科技有限公司,7000-12000元·13薪,1-3年,本科,互联网,,
753,python,无锡,上海比孚信息科技有限公司,1.5-3万,3-5年,本科,计算机软件,数学竞赛,
754,python数据开发工程师,深圳,软通动力信息技术(集团)股份有限公司,1.3-1.6万,1-3年,本科,互联网,"Hadoop, Python, Spark",
755,Python开发工程师,北京,北京睛采智能科技有限公司,1-2万·14薪,经验不限,本科,人工智能,"QT, 深度学习, Unity","五险一金, 周末双休, 团建福利, 商业医疗险"
756,python后端开发工程师,沈阳,沈阳星翼信息科技有限公司,8000-10000元,1-3年,本科,电子商务,PYTHON自动化,
757,Python开发工程师,西安,软通动力信息技术(集团)股份有限公司,1.1-2.2万,1-3年,本科,互联网,"Python, 昇腾","单位体检, 五险一金, 周末双休, 带薪假期, 免费停车"
758,AI中心-Python后端开发工程师(J10113),北京,中国移动研究院,1.5-3万·13薪,3-5年,本科,运营商/增值服务,Java,
759,Python开发工程师-大连,广州,上海钦诚信息科技有限公司,1.4-2万,3-5年,本科,计算机软件,"Django, Scrapy, Flask, Python, NLP, AI",
760,Python开发（远程面试+五险一金）,西安,软通动力信息技术(集团)股份有限公司,1-1.5万,3-5年,本科,互联网,Python,五险一金
761,Python开发工程师,天津,天津成琛科技有限公司,6000-12000元·13薪,经验不限,本科,企业服务,"架构师, 高级软件工程师, 中级软件工程师, MySQL, GIT, MongoDB, Memcached, Redis","五险一金, 绩效奖金, 带薪假期, 餐饮补贴, 差旅补贴, 周末双休, 加班补贴"
762,python软件工程师,深圳,英维克,1.5-2.5万·13薪,经验不限,本科,专用设备制造,"数据分析, Python",
763,python后端开发工程师,东莞,软通动力信息技术(集团)股份有限公司,1.1-1.7万,3-5年,本科,互联网,"Python, TensorFlow, MySQL, Oracle",
764,高级Python开发工程师（AI方向）,福州,知服科技(福建)有限公司,1-2万,1-3年,本科,计算机软件,,
765,python后端开发工程师,北京,北京鼎腾科技有限公司,1.4-1.7万,3-5年,本科,IT服务,"MySQL, SQLServer, AI项目, 机器学习",
766,Python开发工程师,上海,软通动力信息技术(集团)股份有限公司,1.2-1.6万,1-3年,本科,互联网,"Python, 数据库",
767,python后端开发工程师,北京,极升科技(北京)有限公司,1.8-3万,3-5年,本科,IT服务,"Java, Python",
768,Python开发工程师,深圳,深圳市紫川软件有限公司,1.1-1.6万,3-5年,本科,计算机软件,"Django, DRF",
769,杭州Python开发工程师（三餐/双休）,杭州,软通动力信息技术(集团)股份有限公司,1.8-2.7万,1-3年,本科,互联网,"PHP, Shell, Django, MySQL, MongoDB",周末双休
770,python开发工程师,哈尔滨,黑龙江盛达科技股份有限公司,7000-12000元,1-3年,本科,计算机软件,"Flask, Django, AIGC",
771,外企Python开发-英语读写-驻场,深圳,大连思泰克科技有限公司,1.5-2.5万·13薪,3-5年,本科,计算机硬件,"Django, Flask, Python",
