职位,城市,公司,薪资,经验,学历,领域,技能,福利
大数据工程师,重庆,浙江友华工程咨询有限公司,8000-15000元,3-5年,本科,通信/网络设备,"数据挖掘, 数据治理, ETL",
数据产品经理,重庆,重庆康洲大数据(集团)有限公司,8000-16000元,1-3年,本科,医药制造,"B端产品运营, C端产品运营","五险一金, 带薪假期, 餐饮补贴, 周末双休"
免疫类检测技术员,重庆,威斯腾生物医药,4000-6000元,1-3年,本科,学术/科研,"数据统计分析, 生物技术, 免疫检测",
销售助理文员,重庆,重庆驰能热工设备有限公司,4000-8000元,经验不限,大专,专用设备制造,"资料管理, office, 标书制作, 数据统计分析","年终分红, 包吃, 午餐免费, 绩效奖金, 高提成, 包住, 五险, 节日福利, 免费停车"
长安凯程-新能源大数据开发工程师（数据产品）(J23100),重庆,重庆长安凯程汽车科技有限公司,面议,3-5年,本科,零售/批发,"新能源大数据开发, 数据产品、汽车研发, 商用车、皮卡",
业务管理（推动、督导、分析等）,重庆,中国太平洋人寿保险股份有限公司,110-120元/天,无经验,本科,保险,"业务推动, 业务督导, 数据分析",
b端产品经理,重庆,重庆异连科技有限公司,1.2-1.9万·13薪,3-5年,本科,互联网,"数据产品, 后台产品, CRM产品, 物流产品, 数据分析, Axure, Visio, TO B",
数据建模架构师,重庆,重庆康洲大数据(集团)有限公司,2-4万,3-5年,本科,医药制造,"数据建模, 数据挖掘, 数据统计",
大数据开发工程师,重庆,重庆学一雅通信设备有限责任公司,8000-12000元,3-5年,本科,运营商/增值服务,"Hadoop, Java, Python, Scala, ETL, 数据挖掘, 数据中台开发","周末双休, 带薪假期, 五险"
2025校招-企划督导,重庆,泰康人寿保险有限责任公司重庆分公司,6000-9000元,无经验,本科,保险,,"签订劳动合同, 绩效奖金, 带薪假期, 年终奖金, 五险二金, 现金福利, 节日福利, 餐饮补贴"
中药信息主管,重庆,重庆康洲大数据(集团)有限公司,7000-14000元,3-5年,硕士,医药制造,"药学, 数据统计分析","绩效奖金, 带薪假期, 交通补贴, 节日福利, 餐饮补贴, 周末双休"
数据要素研究员,重庆,重庆信息通信研究院,8000-12000元,1-3年,硕士,通信/网络设备,"省部级项目经验, 数据要素, 数字经济, 产业与政策研究",
大数据工程师,重庆,中电智安科技有限公司,1-2万,3-5年,本科,通信/网络设备,"数据建模, 数仓开发, Java, Python, Hadoop, MySQL, MongoDB, Elasticsearch","节日福利, 餐饮补贴, 单位体检, 带薪假期, 通讯补贴, 交通补贴, 商业医疗险"
客服数据专员,重庆,北海云旗科技有限公司,4000-5000元,1-3年,本科,互联网,数据统计,
统计分析主管,重庆,重庆两江建筑工程有限公司,5000-10000元,经验不限,本科,房地产开发,数据统计,
10-13k（重庆金融）标注交付服务-投研方向,重庆,四川菲哲科技有限公司,1-1.3万,1-3年,本科,企业服务,"基本面研究, 经济研究, 证券研究, 基金研究, 银行研究, 保险研究",
研究员（商业）,重庆,立信(重庆)数据科技股份有限公司,6000-12000元,3-5年,本科,咨询服务,"用户调研, 商业调研",
医药咨询师,重庆,重庆康洲大数据(集团)有限公司,8000-16000元,1-3年,本科,医药制造,医药,"五险一金, 绩效奖金, 带薪假期, 交通补贴, 餐饮补贴, 包吃, 周末双休"
数据部副经理（华夏云融）,重庆,华夏航空,2-2.5万,5-10年,本科,船舶/航空/航天/火车制造,"大数据开发, 数据库开发, 数据建模",
效果运营专员,重庆,重庆聚汇广告传媒有限公司,4000-6000元,1-3年,本科,电子商务,经营数据分析,
数据项目经理(J10106),重庆,重庆中邮信科集团股份有限公司,1.5-2万,3-5年,本科,通信/网络设备,,
市场研究员,重庆,重庆天箭惯性科技股份有限公司,8000-12000元·13薪,3-5年,本科,仪器仪表制造,"行业调研, 竞品调研, 企业调研",
绩效专员,重庆,重庆堡食空间餐饮管理有限公司,5000-6000元,1-3年,大专,餐饮服务,数据分析,绩效奖金
医药行业高级分析师,重庆,重庆康洲大数据(集团)有限公司,8000-16000元,3-5年,硕士,医药制造,"office, 数据统计分析","五险一金, 绩效奖金, 带薪假期, 交通补贴, 包吃, 周末双休"
西南招商大区经理,重庆,广西壮族自治区花红药业集团股份公司,1.2-1.4万,3-5年,大专,医药制造,"招商, 数据分析","优秀员工奖, 带薪假期, 晋升空间大, 交通补贴, 通讯补贴, 节日福利"
报表开发工程师/实施工程师,重庆,智博融资租赁(深圳)有限公司,8000-12000元·13薪,1-3年,本科,投资/融资,"ETL, 数据仓库, 数据库开发, Python, 报表开发, Sql",
数据标注运营（生物/化学方向）,重庆,深圳青桐盛夏科技有限公司,6000-10000元·13薪,经验不限,本科,企业服务,可接受24届毕业生,
产品经理（大数据方向）,重庆,中电智安科技有限公司,1-2万,1-3年,本科,通信/网络设备,"产品经理, 大数据产品, 数据分析, 金融产品","单位体检, 五险一金, 带薪假期, 通讯补贴, 交通补贴, 节日福利, 餐饮补贴, 周末双休"
大数据平台开发工程师（JAVA大数据应用）,重庆,重庆软江图灵人工智能科技有限公司,8000-12000元,3-5年,本科,人工智能,"数据治理, 数据架构, 数据库开发",
